patch_id,city_code,n_buildings,building_density,mean_building_footprint,std_building_footprint,mean_nn_distance,std_nn_distance
cairo_0232,cairo,31,0.0322,665.22,785.01,58.25,46.67
cairo_0435,cairo,0,0.0,,,,
cairo_0090,cairo,1,0.0003,202.27,0.0,,
cairo_1845,cairo,0,0.0,,,,
cairo_0542,cairo,38,0.0432,727.07,402.68,50.08,25.09
cairo_0416,cairo,200,0.1198,383.21,76.03,28.51,2.36
cairo_0544,cairo,1,0.0036,2288.05,0.0,,
cairo_0865,cairo,23,0.0079,220.14,137.74,19.53,26.08
cairo_0906,cairo,170,0.0508,191.31,78.25,14.33,4.62
cairo_0350,cairo,128,0.191,954.81,3193.73,32.09,19.9
cairo_0113,cairo,5,0.0177,2267.3,1154.99,208.52,273.71
cairo_0338,cairo,10,0.1101,7046.64,11534.45,74.75,64.03
cairo_0043,cairo,185,0.2428,840.12,1409.41,29.68,22.11
cairo_0060,cairo,1247,0.1505,77.25,215.23,10.66,6.28
cairo_0943,cairo,0,0.0,,,,
